video_id,video_path,scenario,viewpoint,primary_actor,other_actor,language_target,split,active
clerk_cross_0508,input_videos/isaacsim/cross/IMG_0508/clerk.mp4,cross,first_person,clerk,customer,en,train,true
clerk_cross_0527,input_videos/isaacsim/cross/IMG_0527/clerk.mp4,cross,first_person,clerk,customer,en,train,true
clerk_cross_0528,input_videos/isaacsim/cross/IMG_0528/clerk.mp4,cross,first_person,clerk,customer,en,train,true
clerk_cross_0529,input_videos/isaacsim/cross/IMG_0529/clerk.mp4,cross,first_person,clerk,customer,en,train,true
clerk_cross_0530,input_videos/isaacsim/cross/IMG_0530/clerk.mp4,cross,first_person,clerk,customer,en,train,true
clerk_cross_0531,input_videos/isaacsim/cross/IMG_0531/clerk.mp4,cross,first_person,clerk,customer,en,train,true
clerk_cross_0532,input_videos/isaacsim/cross/IMG_0532/clerk.mp4,cross,first_person,clerk,customer,en,test,true
clerk_guide_0507,input_videos/isaacsim/guide/IMG_0507/clerk.mp4,guide,first_person,clerk,customer,en,train,true
clerk_guide_0522,input_videos/isaacsim/guide/IMG_0522/clerk.mp4,guide,first_person,clerk,customer,en,train,true
clerk_guide_0523,input_videos/isaacsim/guide/IMG_0523/clerk.mp4,guide,first_person,clerk,customer,en,train,true
clerk_guide_0524,input_videos/isaacsim/guide/IMG_0524/clerk.mp4,guide,first_person,clerk,customer,en,train,true
clerk_guide_0525,input_videos/isaacsim/guide/IMG_0525/clerk.mp4,guide,first_person,clerk,customer,en,train,true
clerk_guide_0526,input_videos/isaacsim/guide/IMG_0526/clerk.mp4,guide,first_person,clerk,customer,en,test,true
clerk_lookaround_0516,input_videos/isaacsim/lookaround/IMG_0516/clerk.mp4,lookaround,first_person,clerk,customer,en,train,true
clerk_lookaround_0517,input_videos/isaacsim/lookaround/IMG_0517/clerk.mp4,lookaround,first_person,clerk,customer,en,train,true
clerk_lookaround_0518,input_videos/isaacsim/lookaround/IMG_0518/clerk.mp4,lookaround,first_person,clerk,customer,en,train,true
clerk_lookaround_0519,input_videos/isaacsim/lookaround/IMG_0519/clerk.mp4,lookaround,first_person,clerk,customer,en,train,true
clerk_lookaround_0520,input_videos/isaacsim/lookaround/IMG_0520/clerk.mp4,lookaround,first_person,clerk,customer,en,train,true
clerk_lookaround_0521,input_videos/isaacsim/lookaround/IMG_0521/clerk.mp4,lookaround,first_person,clerk,customer,en,test,true
clerk_wavehands_0504,input_videos/isaacsim/wavehands/IMG_0504/clerk.mp4,wavehands,first_person,clerk,customer,en,train,true
clerk_wavehands_0506,input_videos/isaacsim/wavehands/IMG_0506/clerk.mp4,wavehands,first_person,clerk,customer,en,train,true
clerk_wavehands_0511,input_videos/isaacsim/wavehands/IMG_0511/clerk.mp4,wavehands,first_person,clerk,customer,en,train,true
clerk_wavehands_0512,input_videos/isaacsim/wavehands/IMG_0512/clerk.mp4,wavehands,first_person,clerk,customer,en,train,true
clerk_wavehands_0513,input_videos/isaacsim/wavehands/IMG_0513/clerk.mp4,wavehands,first_person,clerk,customer,en,train,true
clerk_wavehands_0514,input_videos/isaacsim/wavehands/IMG_0514/clerk.mp4,wavehands,first_person,clerk,customer,en,train,true
clerk_wavehands_0515,input_videos/isaacsim/wavehands/IMG_0515/clerk.mp4,wavehands,first_person,clerk,customer,en,test,true
